person_id,country_of_origin,entry_type,previous_profession,current_profession,years_in_us,english_level,education_level,hours_per_week,annual_income,stress_level,job_satisfaction,employment_type,income_per_hour
279,China,marriage,driver,office,9,intermediate,high_school,50,42606,6,8,self-employed,16.386923076923075
280,India,work_visa,nurse,construction,5,basic,master,66,55965,5,5,full-time,16.306818181818183
281,Philippines,work_visa,police_officer,IT,7,advanced,high_school,48,118121,7,5,self-employed,47.32411858974359
282,Colombia,student_visa,farmer,healthcare,4,advanced,master,45,72988,4,6,full-time,31.19145299145299
283,Philippines,student_visa,farmer,cleaning,10,intermediate,bachelor,42,40713,10,7,part-time,18.641483516483518
284,China,undocumented,teacher,office,3,intermediate,master,53,25987,7,7,part-time,9.429245283018869
285,Mexico,marriage,accountant,IT,4,advanced,high_school,39,104228,10,6,self-employed,51.39447731755424
286,Colombia,tourist_visa,farmer,cleaning,6,advanced,bachelor,40,28128,5,6,part-time,13.523076923076923
287,Philippines,work_visa,accountant,delivery,12,basic,high_school,58,30196,7,3,self-employed,10.011936339522546
288,India,tourist_visa,accountant,healthcare,12,advanced,bachelor,40,67345,6,9,full-time,32.37740384615385
289,Brazil,tourist_visa,accountant,healthcare,6,advanced,associate,38,70789,9,8,part-time,35.824392712550605
290,Philippines,tourist_visa,driver,cleaning,2,advanced,associate,50,42381,6,5,part-time,16.300384615384615
291,Colombia,student_visa,accountant,office,8,basic,master,49,39824,4,5,full-time,15.629513343799058
292,Colombia,undocumented,construction_worker,healthcare,4,intermediate,master,38,87043,7,8,full-time,44.0501012145749
293,China,student_visa,farmer,healthcare,7,basic,bachelor,41,86437,4,9,full-time,40.542682926829265
294,India,tourist_visa,farmer,cleaning,1,intermediate,associate,41,25104,9,7,full-time,11.77485928705441
295,Colombia,undocumented,accountant,IT,11,basic,high_school,40,87931,4,6,part-time,42.27451923076923
296,China,tourist_visa,nurse,office,1,advanced,high_school,51,49023,5,6,part-time,18.485294117647058
297,Philippines,student_visa,construction_worker,delivery,3,advanced,high_school,50,27442,6,5,full-time,10.554615384615385
298,Brazil,undocumented,farmer,cleaning,10,advanced,bachelor,48,47921,8,9,self-employed,19.19911858974359
299,Colombia,tourist_visa,police_officer,healthcare,11,advanced,associate,41,69612,10,5,full-time,32.651031894934334
300,Philippines,tourist_visa,engineer,delivery,2,advanced,bachelor,50,42999,6,3,part-time,16.538076923076922
